MalaCard_ID,MalaCard_Name,OMIM_ID,DO_ID
FTL021,Fetal Macrosomia,,
NSP002,Nasopharyngitis,,DOID:10460
MTR002,Mitral Valve Insufficiency,,DOID:11502
DDN006,Duodenitis,,DOID:8643
RTN021,Retinal Vascular Occlusion,,DOID:1729
PTN014,Patent Ductus Arteriosus 1,607411,DOID:13832
CRD137,Cardiogenic Shock,,
OBS037,Obesity-Hypoventilation Syndrome,257500,
HRN001,Horner's Syndrome,,DOID:11486
CNT015,Central Sleep Apnea,,DOID:9220
ACQ022,Acquired Generalized Lipodystrophy,,
SXL003,Sexual Disorder,,DOID:0060043
ANL018,Analbuminemia,616000,
MSN001,Mesangial Proliferative Glomerulonephritis,,DOID:4783
DFF003,Diffuse Scleroderma,,DOID:1580
MYX004,Myxedema,255900,DOID:11634
ALP061,"Alopecia, Androgenetic, 1",109200,
CRS001,Crescentic Glomerulonephritis,,DOID:13139
MDS022,Mediastinitis,,
CRT009,Critical Illness Polyneuropathy,,DOID:14402
KRT008,Keratopathy,,DOID:2283
TTR005,Tetrahydrobiopterin Deficiency,,
MNN034,Mannose-Binding Lectin Deficiency,614372,
OST062,Osteoarthritis with Mild Chondrodysplasia,604864,
NRN002,Neuronitis,,DOID:8117
CHR579,Chiari Malformation Type Ii,207950,
IDP033,Idiopathic Edema,,
DFF006,Diffuse Idiopathic Skeletal Hyperostosis,,DOID:6652
ANC002,Anca-Associated Vasculitis,,
HYP781,Hypoascorbemia,240400,DOID:13724
CLP006,Clopidogrel Resistance,,
MYL013,Myeloperoxidase Deficiency,254600,
SPS219,"Spastic Paraplegia 17, Autosomal Dominant",270685,DOID:0110770
ART018,Aortic Valve Insufficiency,,
CRB086,Cerebral Aneurysms,,
ERL029,"Early-Onset, Autosomal Dominant Alzheimer Disease",,
TND005,Tendinitis,,
BCL014,B-Cell Growth Factor,109540,
HMF004,Hemifacial Spasm,,
LTH045,"Lutheran Suppressor, X-Linked",309050,
CHR413,Chronic Myocardial Ischemia,,
SHW001,Shwartzman Phenomenon,,DOID:3825
RHM014,Rheumatoid Vasculitis,,
ALX002,Alexithymia,,DOID:0060131
PTC002,Potocki-Lupski Syndrome,610883,
ATM022,Autoimmune Myocarditis,,
FNS001,Funisitis,,DOID:0050698
CNT028,Central Retinal Artery Occlusion,,DOID:13098
PST055,Postural Hypotension,,
STC004,Stachybotrys Chartarum,,
CHR096,Chronic Pulmonary Heart Disease,,DOID:12326
LNG057,Long Qt Syndrome 13,613485,DOID:0110654
MRN002,Mooren's Ulcer,,DOID:10439
ACL001,Acalculous Cholecystitis,,DOID:2828
PLY112,"Polyarteritis Nodosa, Childhood-Onset",615688,
ALN001,Aland Island Eye Disease,300600,DOID:0050630
IMM001,Immune-Complex Glomerulonephritis,,DOID:4784
MLT002,Multiple Symmetrical Lipomatosis,,DOID:3137
LKS001,Leukostasis,,DOID:12986
SKN006,Skin Sarcoidosis,,DOID:13402
AMN002,Amino Acid Metabolic Disorder,,DOID:9252
GRN009,Granulomatous Hepatitis,,DOID:2239
HYP064,Hypogonadotropism,,DOID:7455
RNL097,Renal Artery Disease,,DOID:2388
LSB001,Louse-Borne Relapsing Fever,,DOID:13035
ALC010,Alcoholic Cardiomyopathy,,DOID:12935
BLD051,Blood Coagulation Disease,,DOID:1247
XNT009,Xanthoma Disseminatum,,
CRT004,Carotid Artery Thrombosis,,DOID:3410
ALP041,"Alopecia, Neurologic Defects, and Endocrinopathy Syndrome",612079,
PRG003,Progesterone-Receptor Negative Breast Cancer,,DOID:0060078
HYP396,"Hypercholesterolemia, Autosomal Recessive",603813,DOID:0090105
SLT014,Salt and Pepper Developmental Regression Syndrome,609056,
SBC035,Subacute Cutaneous Lupus Erythematosus,,
CMP028,Complement Component 2 Deficiency,217000,DOID:0060295
CRB194,Cerebroretinal Microangiopathy with Calcifications and Cysts 1,612199,
CRC039,Coarctation of Aorta,120000,
AML044,"Amelogenesis Imperfecta, Type Ig",204690,DOID:0110066
HNT004,Huntington Disease-Like 2,606438,DOID:0090104
LPT014,Leptin Deficiency or Dysfunction,614962,
CMP090,"Complement Component 3 Deficiency, Autosomal Recessive",613779,
HPT020,Hepatic Vascular Disease,,
VSC008,Vascular Hemostatic Disease,,
DNS007,Dense Deposit Disease,,
APL017,Apolipoprotein C-Ii Deficiency,207750,
MLT151,Multiple Mitochondrial Dysfunctions Syndrome 5,617613,
INF013,Inferior Myocardial Infarction,,DOID:5850
PHG002,Phagocyte Bactericidal Dysfunction,,DOID:3262
HRP025,Herpes Simplex Virus Keratitis,,DOID:0080158
HYP072,Hypersensitivity Reaction Type Iii Disease,,DOID:1557
ACT036,Acute Cholangitis,,DOID:14271
DYS013,Dysbaric Osteonecrosis,,DOID:0080018
HYP114,Hypertensive Nephropathy,608026,
EPT021,Epithelial Recurrent Erosion Dystrophy,122400,
HNT011,Huntington Disease-Like 3,604802,
SPL006,Splenic Infarction,,DOID:2533
LYM045,Lymphocytic Vasculitis,,
MNG003,Mungan Syndrome,611376,
SPN331,Spondyloocular Syndrome,605822,
LKC003,Leukocyte Disease,,DOID:9500
HMP001,Hemopericardium,,DOID:11482
BCT020,Bacteremia 2,614383,
TRC078,Trichohepatoenteric Syndrome 2,614602,
SCR039,Scorpion Envenomation,,
ACT209,Acatalasemia,614097,DOID:2582
EXT035,Extrinsic Cardiomyopathy,,DOID:3978
MLT009,Multiple Cranial Nerve Palsy,,DOID:13866
AGR019,Age-Related Hearing Loss,,
ANG066,Angel-Shaped Phalangoepiphyseal Dysplasia,105835,
CTR102,"Cataract 2, Multiple Types",604307,DOID:0110235
HRT008,Heart Conduction Disease,,DOID:10273
CRN006,Coronary Aneurysm,,DOID:3362
IDP041,Idiopathic Recurrent Pericarditis,,
RNL001,Renal Artery Obstruction,,DOID:2972
SBD001,Subdural Empyema,,DOID:11389
BRK012,Broken Heart Syndrome,,
SBN001,Subendocardial Myocardial Infarction,,DOID:5849
CHR013,Chronic Apical Periodontitis,,DOID:11269
PRL001,Purulent Labyrinthitis,,DOID:13534
ATM068,Autoimmune Hypoparathyroidism,,
PYS001,Pyosalpinx,,DOID:5732
PLY105,Polycystic Ovary Syndrome 1,184700,
LPG001,Lipogranulomatosis,,
PLT031,Platelet Membrane Fluidity,173560,
ANR010,Aneurysm of Sinus of Valsalva,,
TRT003,Tertiary Syphilis,,DOID:8200
MLG042,Malignant Otitis Externa,,DOID:10516
PRM092,"Primary Lateral Sclerosis, Adult, 1",611637,
CRB031,Cerebral Arterial Disease,,DOID:3527
SCL022,Scleredema,,
ART028,"Aortic Aneurysm, Familial Thoracic 4",132900,
SPR024,Supratentorial Cancer,,DOID:1659
CLS047,Classic Progressive Supranuclear Palsy Syndrome,,
BRN041,Bornholm Eye Disease,300843,
FTT008,"Fatty Liver Disease, Nonalcoholic 1",613282,
PLM064,Pulmonary Sequestration,,
INT053,Intracranial Vasospasm,,DOID:13100
XLN206,X-Linked Intellectual Disability-Macrocephaly-Macroorchidism Syndrome,,
HYP002,Hypothalamic Neoplasm,,DOID:3644
RDN004,Radin Blood Group Antigen,111620,
SKN010,Skin Epithelioid Hemangioma,,DOID:14308
MLG003,Malignant Renovascular Hypertension,,DOID:13730
FML206,Familial Cerebral Saccular Aneurysm,,
GRW032,"Growth Factors, Combined Defect of",233805,
ART134,"Aortic Aneurysm, Familial Thoracic 10",617168,
EPS033,"Episodic Ataxia, Type 8",616055,DOID:0050996
MRB006,Morbid Obesity and Spermatogenic Failure,615703,
PGT011,Paget Disease of Bone 6,616833,
LPD028,Lipodystrophy Due to Peptidic Growth Factors Deficiency,,
3P2001,3p25.3 Microdeletion Syndrome,,
HYP163,Hyperlipidemia Type 3,,
ART071,"Aortic Aneurysm, Familial Thoracic 6",611788,
LTH004,Lathyrism,,
GST056,Gastrocutaneous Syndrome,137270,
INB001,Inborn Amino Acid Metabolism Disorder,,
VSC001,Vascular Myelopathy,,
ATY022,Atypical Coarctation of Aorta,,
AMN012,Aminoacidopathies,,
CNG336,Congenital Analbuminemia,,
ANR037,Aneurysm or Dilatation of Ascending Aorta,,
CRT043,Carotid Intimal Medial Thickness 1,609338,
PLS026,Plasma Fibronectin Deficiency,614101,
VSC009,Vascular Skin Disease,,DOID:9540
PRP050,Peripheral Arterial Occlusive Disease 1,606787,
