MalaCard_ID,MalaCard_Name,DO_ID,OMIM_ID
PLY105,Polycystic Ovary Syndrome 1,,
LPG001,Lipogranulomatosis,,
PLT031,Platelet Membrane Fluidity,,
ANR010,Aneurysm of Sinus of Valsalva,,
TRT003,Tertiary Syphilis,,
MLG042,Malignant Otitis Externa,,
PRM092,"Primary Lateral Sclerosis, Adult, 1",,
CRB031,Cerebral Arterial Disease,,
SCL022,Scleredema,,
ART028,"Aortic Aneurysm, Familial Thoracic 4",,
SPR024,Supratentorial Cancer,,
CLS047,Classic Progressive Supranuclear Palsy Syndrome,,
BRN041,Bornholm Eye Disease,,
FTT008,"Fatty Liver Disease, Nonalcoholic 1",,
PLM064,Pulmonary Sequestration,,
INT053,Intracranial Vasospasm,,
XLN206,X-Linked Intellectual Disability-Macrocephaly-Macroorchidism Syndrome,,
HYP002,Hypothalamic Neoplasm,,
RDN004,Radin Blood Group Antigen,,
SKN010,Skin Epithelioid Hemangioma,,
MLG003,Malignant Renovascular Hypertension,,
FML206,Familial Cerebral Saccular Aneurysm,,
GRW032,"Growth Factors, Combined Defect of",,
ART134,"Aortic Aneurysm, Familial Thoracic 10",,
EPS033,"Episodic Ataxia, Type 8",,
MRB006,Morbid Obesity and Spermatogenic Failure,,
PGT011,Paget Disease of Bone 6,,
LPD028,Lipodystrophy Due to Peptidic Growth Factors Deficiency,,
3P2001,3p25.3 Microdeletion Syndrome,,
HYP163,Hyperlipidemia Type 3,,
ART071,"Aortic Aneurysm, Familial Thoracic 6",,
LTH004,Lathyrism,,
GST056,Gastrocutaneous Syndrome,,
INB001,Inborn Amino Acid Metabolism Disorder,,
VSC001,Vascular Myelopathy,,
ATY022,Atypical Coarctation of Aorta,,
AMN012,Aminoacidopathies,,
CNG336,Congenital Analbuminemia,,
ANR037,Aneurysm or Dilatation of Ascending Aorta,,
CRT043,Carotid Intimal Medial Thickness 1,,
PLS026,Plasma Fibronectin Deficiency,,
VSC009,Vascular Skin Disease,,
PRP050,Peripheral Arterial Occlusive Disease 1,,
